case_id,customer_id,customer_name,amount,payment_status,failure_reason,retry_count,previous_success_rate,days_overdue,checkout_abandoned,expected_action
CASE_00023,CUST_00023,Ashley Mejia,25000,FAILED,CARD_DECLINED,2,0.59,0,False,SEND_PAYMENT_LINK
CASE_00024,CUST_00024,Anna Meyer,7999,FAILED,BANK_ERROR,0,0.39,0,False,SEND_PAYMENT_LINK
CASE_00025,CUST_00025,Rebecca Reeves,999,ABANDONED,NONE,0,0.98,45,True,ESCALATE_HUMAN
CASE_00026,CUST_00026,Debra Greene,1499,FAILED,NETWORK_ERROR,1,0.41,20,False,SEND_PAYMENT_LINK
CASE_00027,CUST_00027,Richard Preston,2499,FAILED,INSUFFICIENT_FUNDS,3,1.0,15,False,STOP
CASE_00028,CUST_00028,Michelle Long,15000,ABANDONED,NONE,0,0.4,0,True,SEND_PAYMENT_LINK
CASE_00029,CUST_00029,Scott Lucas,7999,FAILED,CARD_DECLINED,1,0.67,0,False,SEND_PAYMENT_LINK
CASE_00030,CUST_00030,Crystal Pacheco,999,FAILED,BANK_ERROR,0,0.92,15,False,RETRY_PAYMENT
CASE_00031,CUST_00031,Ashley Park,999,FAILED,INSUFFICIENT_FUNDS,3,0.37,0,False,STOP
CASE_00032,CUST_00032,Angela Wheeler,100000,ABANDONED,NONE,1,0.83,20,True,ESCALATE_HUMAN
CASE_00033,CUST_00033,Travis Rodriguez,2499,FAILED,TIMEOUT,3,0.48,20,False,STOP
CASE_00034,CUST_00034,William James,15000,FAILED,TIMEOUT,0,0.52,15,False,SEND_PAYMENT_LINK
CASE_00035,CUST_00035,Luis Marshall,999,FAILED,BANK_ERROR,1,0.63,0,False,RETRY_PAYMENT
CASE_00036,CUST_00036,Malik Vance,4999,ABANDONED,NONE,1,0.9,0,True,SEND_PAYMENT_LINK
CASE_00037,CUST_00037,Jorge Hess,15000,FAILED,TIMEOUT,0,0.98,5,False,RETRY_PAYMENT
CASE_00038,CUST_00038,Rodney Bryant,1499,ABANDONED,NONE,3,0.59,20,True,STOP
CASE_00039,CUST_00039,Kristy Mitchell,499,FAILED,NETWORK_ERROR,0,0.99,10,False,RETRY_PAYMENT
CASE_00040,CUST_00040,Amy Morgan,15000,FAILED,NETWORK_ERROR,3,0.32,10,False,STOP
CASE_00041,CUST_00041,Amy Mcdonald,2499,FAILED,CARD_DECLINED,0,0.8,0,False,SEND_PAYMENT_LINK
CASE_00042,CUST_00042,Jared Walker,499,ABANDONED,NONE,1,0.25,45,True,ESCALATE_HUMAN
CASE_00043,CUST_00043,Ernest Coleman,999,FAILED,TIMEOUT,0,0.74,5,False,RETRY_PAYMENT
CASE_00044,CUST_00044,Matthew Brown,50000,FAILED,CARD_DECLINED,0,0.7,20,False,SEND_PAYMENT_LINK
CASE_00045,CUST_00045,Andre Johnson,50000,FAILED,INSUFFICIENT_FUNDS,1,0.74,15,False,ESCALATE_HUMAN
CASE_00046,CUST_00046,Mark Irwin,9999,FAILED,INSUFFICIENT_FUNDS,3,0.45,0,False,STOP
CASE_00047,CUST_00047,Kyle Beck,499,ABANDONED,NONE,0,0.26,5,True,SEND_PAYMENT_LINK
CASE_00048,CUST_00048,Katie Wilson,25000,FAILED,BANK_ERROR,2,0.9,5,False,RETRY_PAYMENT
CASE_00049,CUST_00049,Rebecca Wilson,7999,FAILED,BANK_ERROR,3,0.87,10,False,STOP
CASE_00050,CUST_00050,Matthew Ponce,50000,FAILED,CARD_DECLINED,2,0.95,0,False,SEND_PAYMENT_LINK
CASE_00051,CUST_00051,Joshua Wilson,1499,FAILED,TIMEOUT,0,0.79,0,False,RETRY_PAYMENT
CASE_00052,CUST_00052,Meagan Price,4999,FAILED,CARD_DECLINED,1,0.77,5,False,SEND_PAYMENT_LINK
CASE_00053,CUST_00053,Barbara Chapman,75000,FAILED,CARD_DECLINED,3,0.4,0,False,STOP
CASE_00054,CUST_00054,Aaron Hunt,999,ABANDONED,NONE,2,0.24,15,True,SEND_PAYMENT_LINK
CASE_00055,CUST_00055,Brenda Brown,1499,FAILED,BANK_ERROR,3,0.64,20,False,STOP
CASE_00056,CUST_00056,Robert Ward,25000,FAILED,TIMEOUT,0,0.96,0,False,RETRY_PAYMENT
CASE_00057,CUST_00057,Caitlin Stewart,25000,FAILED,INSUFFICIENT_FUNDS,1,0.54,0,False,SEND_PAYMENT_LINK
CASE_00058,CUST_00058,Steven Ferguson PhD,4999,FAILED,TIMEOUT,2,0.37,5,False,SEND_PAYMENT_LINK
CASE_00059,CUST_00059,Karen Ramsey,75000,FAILED,INSUFFICIENT_FUNDS,3,0.98,0,False,STOP
CASE_00060,CUST_00060,Dr. Jennifer Norman,2499,FAILED,BANK_ERROR,3,0.22,15,False,STOP
CASE_00061,CUST_00061,Destiny Wilkerson,9999,FAILED,INSUFFICIENT_FUNDS,1,0.83,0,False,SEND_PAYMENT_LINK
CASE_00062,CUST_00062,Samantha Smith,9999,FAILED,NETWORK_ERROR,1,0.36,30,False,ESCALATE_HUMAN
CASE_00063,CUST_00063,Brandon Fields,7999,FAILED,BANK_ERROR,1,0.22,5,False,SEND_PAYMENT_LINK
CASE_00064,CUST_00064,Michelle Stewart,9999,FAILED,INSUFFICIENT_FUNDS,0,0.97,10,False,SEND_PAYMENT_LINK
CASE_00065,CUST_00065,Thomas Barrett,7999,ABANDONED,NONE,2,0.95,0,True,SEND_PAYMENT_LINK
CASE_00066,CUST_00066,Kelsey Webster,4999,FAILED,CARD_DECLINED,2,0.23,20,False,SEND_PAYMENT_LINK
CASE_00067,CUST_00067,Mary Montgomery,7999,FAILED,NETWORK_ERROR,0,0.51,5,False,RETRY_PAYMENT
CASE_00068,CUST_00068,Jacqueline Cook,100000,ABANDONED,NONE,0,0.62,45,True,ESCALATE_HUMAN
CASE_00069,CUST_00069,Mr. Chase Hunter,75000,FAILED,INSUFFICIENT_FUNDS,3,0.26,15,False,STOP
CASE_00070,CUST_00070,Holly Daugherty,50000,FAILED,TIMEOUT,2,0.61,20,False,RETRY_PAYMENT
CASE_00071,CUST_00071,Taylor Goodwin,100000,FAILED,CARD_DECLINED,1,0.35,20,False,ESCALATE_HUMAN
CASE_00072,CUST_00072,Theresa Patterson,75000,FAILED,CARD_DECLINED,2,0.52,0,False,ESCALATE_HUMAN
CASE_00073,CUST_00073,Vanessa Smith,4999,FAILED,BANK_ERROR,3,0.83,15,False,STOP
CASE_00074,CUST_00074,Gary Lopez,15000,ABANDONED,NONE,3,0.74,45,True,STOP
CASE_00075,CUST_00075,Mr. Ray Lopez,15000,FAILED,TIMEOUT,2,0.61,15,False,RETRY_PAYMENT
CASE_00076,CUST_00076,Ashley Thompson,2499,FAILED,BANK_ERROR,1,0.32,0,False,SEND_PAYMENT_LINK
CASE_00077,CUST_00077,Melissa Brown,2499,ABANDONED,NONE,0,0.56,5,True,SEND_PAYMENT_LINK
CASE_00078,CUST_00078,John Hamilton,100000,ABANDONED,NONE,3,0.52,0,True,STOP
CASE_00079,CUST_00079,Mark Miller,75000,FAILED,TIMEOUT,3,0.38,45,False,STOP
CASE_00080,CUST_00080,Todd Moore,15000,FAILED,CARD_DECLINED,1,0.93,0,False,SEND_PAYMENT_LINK
CASE_00081,CUST_00081,Ebony Powell,15000,FAILED,NETWORK_ERROR,2,0.96,30,False,ESCALATE_HUMAN
CASE_00082,CUST_00082,Jeffrey Walker,50000,ABANDONED,NONE,3,0.92,30,True,STOP
CASE_00083,CUST_00083,Tamara Willis,15000,FAILED,BANK_ERROR,2,0.81,45,False,ESCALATE_HUMAN
CASE_00084,CUST_00084,Haley Walker,15000,FAILED,INSUFFICIENT_FUNDS,3,0.26,10,False,STOP
CASE_00085,CUST_00085,Brianna Livingston,2499,FAILED,INSUFFICIENT_FUNDS,2,0.91,0,False,SEND_PAYMENT_LINK
CASE_00086,CUST_00086,Matthew Lawson,1499,FAILED,BANK_ERROR,3,0.76,5,False,STOP
CASE_00087,CUST_00087,Ronald Barton,999,ABANDONED,NONE,3,0.46,30,True,STOP
CASE_00088,CUST_00088,Cindy Salinas,9999,FAILED,BANK_ERROR,3,0.51,0,False,STOP
CASE_00089,CUST_00089,Jonathan Patterson,50000,ABANDONED,NONE,3,0.2,15,True,STOP
CASE_00090,CUST_00090,Tammy Moore,4999,ABANDONED,NONE,3,0.63,45,True,STOP
CASE_00091,CUST_00091,Dave Walters,50000,FAILED,NETWORK_ERROR,1,0.42,30,False,ESCALATE_HUMAN
CASE_00092,CUST_00092,Howard Evans,499,ABANDONED,NONE,2,0.74,20,True,SEND_PAYMENT_LINK
CASE_00093,CUST_00093,Matthew Gonzales,100000,FAILED,NETWORK_ERROR,1,0.98,45,False,ESCALATE_HUMAN
CASE_00094,CUST_00094,Laura Martinez,499,ABANDONED,NONE,0,0.27,20,True,SEND_PAYMENT_LINK
CASE_00095,CUST_00095,Robert Fischer,1499,ABANDONED,NONE,1,0.24,20,True,SEND_PAYMENT_LINK
CASE_00096,CUST_00096,Paul Nunez,7999,FAILED,NETWORK_ERROR,2,0.47,20,False,SEND_PAYMENT_LINK
CASE_00097,CUST_00097,Brandon Stephens,4999,ABANDONED,NONE,2,0.87,30,True,ESCALATE_HUMAN
CASE_00098,CUST_00098,Steven Green,499,FAILED,INSUFFICIENT_FUNDS,1,0.72,0,False,SEND_PAYMENT_LINK
CASE_00099,CUST_00099,Angela Mercado,499,FAILED,BANK_ERROR,0,0.7,5,False,RETRY_PAYMENT
CASE_00100,CUST_00100,James Hayes,75000,FAILED,CARD_DECLINED,1,0.57,10,False,ESCALATE_HUMAN
CASE_00101,CUST_00101,Richard Cain,7999,FAILED,CARD_DECLINED,0,0.82,0,False,SEND_PAYMENT_LINK
CASE_00102,CUST_00102,Kristen Cummings,4999,FAILED,CARD_DECLINED,0,0.94,20,False,SEND_PAYMENT_LINK
CASE_00103,CUST_00103,Yvonne Mejia,9999,FAILED,TIMEOUT,1,0.28,10,False,SEND_PAYMENT_LINK
CASE_00104,CUST_00104,Ann Carpenter,75000,FAILED,CARD_DECLINED,0,0.48,20,False,ESCALATE_HUMAN
CASE_00105,CUST_00105,Jeffrey Castro,75000,FAILED,TIMEOUT,2,0.21,20,False,ESCALATE_HUMAN
CASE_00106,CUST_00106,Ashley Fritz,15000,FAILED,NETWORK_ERROR,2,0.71,30,False,ESCALATE_HUMAN
CASE_00107,CUST_00107,John Frank,100000,FAILED,NETWORK_ERROR,1,0.79,10,False,ESCALATE_HUMAN
CASE_00108,CUST_00108,Tamara Ward,50000,ABANDONED,NONE,3,0.55,10,True,STOP
CASE_00109,CUST_00109,Adrian Schmidt,7999,FAILED,TIMEOUT,2,0.91,5,False,RETRY_PAYMENT
CASE_00110,CUST_00110,Brian Garcia,15000,ABANDONED,NONE,2,0.22,15,True,SEND_PAYMENT_LINK
CASE_00111,CUST_00111,Angela Barry,1499,ABANDONED,NONE,1,0.48,10,True,SEND_PAYMENT_LINK
CASE_00112,CUST_00112,Taylor Walton,7999,FAILED,CARD_DECLINED,2,0.64,45,False,ESCALATE_HUMAN
CASE_00113,CUST_00113,Kayla Lopez,2499,FAILED,BANK_ERROR,3,0.59,5,False,STOP
CASE_00114,CUST_00114,Lisa Thomas,100000,ABANDONED,NONE,3,0.56,0,True,STOP
CASE_00115,CUST_00115,Jill Krueger,999,FAILED,BANK_ERROR,3,0.75,10,False,STOP
CASE_00116,CUST_00116,James Torres,75000,FAILED,NETWORK_ERROR,2,0.54,45,False,ESCALATE_HUMAN
CASE_00117,CUST_00117,William Buchanan MD,7999,FAILED,NETWORK_ERROR,2,0.45,5,False,SEND_PAYMENT_LINK
CASE_00118,CUST_00118,Brandon Mcconnell,999,FAILED,INSUFFICIENT_FUNDS,0,0.79,0,False,SEND_PAYMENT_LINK
CASE_00119,CUST_00119,Cindy Terry,2499,FAILED,NETWORK_ERROR,2,0.78,45,False,ESCALATE_HUMAN
CASE_00120,CUST_00120,Matthew Cox,50000,FAILED,TIMEOUT,1,0.44,15,False,SEND_PAYMENT_LINK
CASE_00121,CUST_00121,Miss Beth Roman,1499,FAILED,TIMEOUT,1,0.42,0,False,SEND_PAYMENT_LINK
CASE_00122,CUST_00122,Jordan Gross,25000,FAILED,BANK_ERROR,3,0.28,0,False,STOP
CASE_00123,CUST_00123,Elizabeth Wilkerson,50000,FAILED,NETWORK_ERROR,3,0.55,0,False,STOP
CASE_00124,CUST_00124,Matthew Doyle,499,FAILED,NETWORK_ERROR,0,0.86,20,False,RETRY_PAYMENT
CASE_00125,CUST_00125,Linda Williams,15000,FAILED,CARD_DECLINED,0,0.32,10,False,SEND_PAYMENT_LINK
CASE_00126,CUST_00126,Angelica Hickman,999,FAILED,TIMEOUT,3,0.69,5,False,STOP
CASE_00127,CUST_00127,Karen Simmons,25000,ABANDONED,NONE,3,0.93,10,True,STOP
CASE_00128,CUST_00128,Mark Martinez,50000,ABANDONED,NONE,2,0.65,0,True,SEND_PAYMENT_LINK
CASE_00129,CUST_00129,Brittney Hernandez,50000,FAILED,BANK_ERROR,1,0.41,0,False,SEND_PAYMENT_LINK
CASE_00130,CUST_00130,Ricardo Zamora,1499,FAILED,BANK_ERROR,0,0.33,20,False,SEND_PAYMENT_LINK
CASE_00131,CUST_00131,Teresa Torres,15000,ABANDONED,NONE,2,0.23,10,True,SEND_PAYMENT_LINK
CASE_00132,CUST_00132,Aaron Mejia,100000,FAILED,NETWORK_ERROR,0,0.75,10,False,ESCALATE_HUMAN
CASE_00133,CUST_00133,Nicole Perez,75000,FAILED,NETWORK_ERROR,0,0.64,0,False,ESCALATE_HUMAN
CASE_00134,CUST_00134,Sherri Sullivan,4999,FAILED,TIMEOUT,0,0.33,10,False,SEND_PAYMENT_LINK
CASE_00135,CUST_00135,Alison Norton,50000,FAILED,NETWORK_ERROR,0,0.57,10,False,SEND_PAYMENT_LINK
CASE_00136,CUST_00136,Jeffrey Le,4999,ABANDONED,NONE,3,0.26,0,True,STOP
CASE_00137,CUST_00137,Melissa Wilkins,9999,FAILED,CARD_DECLINED,2,0.22,5,False,SEND_PAYMENT_LINK
CASE_00138,CUST_00138,Daniel Smith,75000,FAILED,INSUFFICIENT_FUNDS,0,0.81,0,False,ESCALATE_HUMAN
CASE_00139,CUST_00139,Justin Powers,15000,ABANDONED,NONE,2,0.35,20,True,SEND_PAYMENT_LINK
CASE_00140,CUST_00140,Justin Long,75000,ABANDONED,NONE,0,0.58,20,True,ESCALATE_HUMAN
CASE_00141,CUST_00141,Jennifer Morris,7999,FAILED,TIMEOUT,1,0.46,30,False,ESCALATE_HUMAN
CASE_00142,CUST_00142,Alexa Delacruz,4999,ABANDONED,NONE,0,0.56,15,True,SEND_PAYMENT_LINK
CASE_00143,CUST_00143,Connor Martinez,4999,FAILED,TIMEOUT,3,0.89,0,False,STOP
CASE_00144,CUST_00144,Melissa Baker,75000,ABANDONED,NONE,3,0.24,45,True,STOP
CASE_00145,CUST_00145,Nathan Duran,7999,ABANDONED,NONE,3,0.81,5,True,STOP
CASE_00146,CUST_00146,Carol Hardy,4999,FAILED,INSUFFICIENT_FUNDS,3,0.9,30,False,STOP
CASE_00147,CUST_00147,Stacy Donaldson,999,FAILED,CARD_DECLINED,1,0.77,10,False,SEND_PAYMENT_LINK
CASE_00148,CUST_00148,Chase Lambert,25000,FAILED,CARD_DECLINED,3,0.27,0,False,STOP
CASE_00149,CUST_00149,Mary Ponce,15000,FAILED,BANK_ERROR,3,0.95,10,False,STOP
CASE_00150,CUST_00150,Cathy Perez,25000,FAILED,NETWORK_ERROR,3,0.98,5,False,STOP
CASE_00151,CUST_00151,Jason Jones,15000,FAILED,NETWORK_ERROR,1,0.94,45,False,ESCALATE_HUMAN
CASE_00152,CUST_00152,Lauren Smith,100000,FAILED,TIMEOUT,2,0.82,20,False,ESCALATE_HUMAN
CASE_00153,CUST_00153,Laura Nelson,7999,FAILED,TIMEOUT,2,0.78,30,False,ESCALATE_HUMAN
CASE_00154,CUST_00154,Thomas Boyd,1499,ABANDONED,NONE,3,0.48,45,True,STOP
CASE_00155,CUST_00155,Laura Little DVM,25000,ABANDONED,NONE,3,0.95,5,True,STOP
CASE_00156,CUST_00156,James Rogers,100000,FAILED,CARD_DECLINED,3,0.39,20,False,STOP
CASE_00157,CUST_00157,Joseph Nolan,499,FAILED,NETWORK_ERROR,3,0.51,0,False,STOP
CASE_00158,CUST_00158,Alexander Davis,15000,FAILED,BANK_ERROR,2,0.9,30,False,ESCALATE_HUMAN
CASE_00159,CUST_00159,Todd Carson,999,ABANDONED,NONE,0,0.78,20,True,SEND_PAYMENT_LINK
CASE_00160,CUST_00160,Christopher Ruiz,75000,FAILED,TIMEOUT,3,0.83,10,False,STOP
CASE_00161,CUST_00161,Laura Williams,7999,ABANDONED,NONE,0,0.88,45,True,ESCALATE_HUMAN
CASE_00162,CUST_00162,Elizabeth Lopez,9999,FAILED,NETWORK_ERROR,0,0.69,5,False,SEND_PAYMENT_LINK
CASE_00163,CUST_00163,Richard Smith MD,4999,FAILED,TIMEOUT,3,0.98,0,False,STOP
CASE_00164,CUST_00164,Mr. Scott Faulkner,15000,FAILED,INSUFFICIENT_FUNDS,0,0.24,0,False,SEND_PAYMENT_LINK
CASE_00165,CUST_00165,Wendy Rose,4999,FAILED,INSUFFICIENT_FUNDS,3,0.32,45,False,STOP
CASE_00166,CUST_00166,Kevin Wolfe,9999,FAILED,BANK_ERROR,1,0.26,20,False,SEND_PAYMENT_LINK
CASE_00167,CUST_00167,Jennifer Brown,50000,FAILED,NETWORK_ERROR,1,0.39,10,False,SEND_PAYMENT_LINK
CASE_00168,CUST_00168,Theresa Moss,15000,FAILED,TIMEOUT,3,0.92,45,False,STOP
CASE_00169,CUST_00169,Emily Barr,1499,FAILED,NETWORK_ERROR,2,0.99,10,False,RETRY_PAYMENT
CASE_00170,CUST_00170,Shawna Davidson,75000,ABANDONED,NONE,2,0.57,10,True,ESCALATE_HUMAN
CASE_00171,CUST_00171,Edward Coleman,2499,ABANDONED,NONE,3,0.29,20,True,STOP
CASE_00172,CUST_00172,Tanya Jackson,50000,FAILED,CARD_DECLINED,2,0.99,10,False,ESCALATE_HUMAN
CASE_00173,CUST_00173,Emma Flores,75000,ABANDONED,NONE,2,0.21,0,True,ESCALATE_HUMAN
CASE_00174,CUST_00174,Cassandra Adkins,50000,ABANDONED,NONE,2,0.82,5,True,SEND_PAYMENT_LINK
CASE_00175,CUST_00175,Jordan Johnson,50000,FAILED,BANK_ERROR,1,0.7,0,False,SEND_PAYMENT_LINK
CASE_00176,CUST_00176,Susan Chavez,75000,FAILED,INSUFFICIENT_FUNDS,3,0.23,15,False,STOP
CASE_00177,CUST_00177,Jennifer Roberts,100000,FAILED,TIMEOUT,2,0.46,20,False,ESCALATE_HUMAN
CASE_00178,CUST_00178,James Wagner,1499,FAILED,BANK_ERROR,2,0.62,10,False,SEND_PAYMENT_LINK
CASE_00179,CUST_00179,Nathan Willis,4999,ABANDONED,NONE,2,0.8,15,True,SEND_PAYMENT_LINK
CASE_00180,CUST_00180,Shari Mayo,999,ABANDONED,NONE,0,0.31,5,True,SEND_PAYMENT_LINK
CASE_00181,CUST_00181,Derek Green,75000,ABANDONED,NONE,2,0.27,20,True,ESCALATE_HUMAN
CASE_00182,CUST_00182,Michael Wiley,499,FAILED,CARD_DECLINED,0,0.56,10,False,SEND_PAYMENT_LINK
CASE_00183,CUST_00183,Jack Vargas,50000,ABANDONED,NONE,2,0.29,5,True,SEND_PAYMENT_LINK
CASE_00184,CUST_00184,Bryan Cook,15000,FAILED,CARD_DECLINED,2,0.93,5,False,SEND_PAYMENT_LINK
CASE_00185,CUST_00185,Tony Massey,75000,FAILED,NETWORK_ERROR,2,0.72,0,False,ESCALATE_HUMAN
CASE_00186,CUST_00186,Kevin Cunningham,1499,FAILED,TIMEOUT,2,1.0,0,False,RETRY_PAYMENT
CASE_00187,CUST_00187,David Burke,999,FAILED,CARD_DECLINED,1,0.51,15,False,SEND_PAYMENT_LINK
CASE_00188,CUST_00188,Terri Watkins,75000,ABANDONED,NONE,1,0.91,0,True,ESCALATE_HUMAN
CASE_00189,CUST_00189,Madison Orr,15000,ABANDONED,NONE,2,0.23,15,True,SEND_PAYMENT_LINK
CASE_00190,CUST_00190,David Meza,2499,ABANDONED,NONE,3,0.96,15,True,STOP
CASE_00191,CUST_00191,Christopher Maxwell,999,FAILED,CARD_DECLINED,2,0.25,10,False,SEND_PAYMENT_LINK
CASE_00192,CUST_00192,Catherine Allen,2499,FAILED,NETWORK_ERROR,0,0.73,0,False,RETRY_PAYMENT
CASE_00193,CUST_00193,Stephanie Jones,7999,FAILED,BANK_ERROR,1,0.25,45,False,ESCALATE_HUMAN
CASE_00194,CUST_00194,Christina Mitchell,2499,FAILED,BANK_ERROR,2,0.82,0,False,RETRY_PAYMENT
CASE_00195,CUST_00195,Kristi Rodriguez,4999,FAILED,BANK_ERROR,2,0.84,0,False,RETRY_PAYMENT
CASE_00196,CUST_00196,Sarah Mahoney,75000,FAILED,BANK_ERROR,0,0.49,5,False,ESCALATE_HUMAN
CASE_00197,CUST_00197,Miss Mia Fry,50000,FAILED,TIMEOUT,1,0.41,0,False,SEND_PAYMENT_LINK
CASE_00198,CUST_00198,Lauren Dixon,100000,ABANDONED,NONE,0,0.8,30,True,ESCALATE_HUMAN
CASE_00199,CUST_00199,Thomas Taylor,15000,FAILED,CARD_DECLINED,0,0.56,5,False,SEND_PAYMENT_LINK
CASE_00200,CUST_00200,Jason Henderson,50000,FAILED,CARD_DECLINED,2,0.57,0,False,ESCALATE_HUMAN
CASE_00201,CUST_00201,Kristin Haas,15000,ABANDONED,NONE,3,0.75,30,True,STOP
CASE_00202,CUST_00202,Natalie Hines,100000,ABANDONED,NONE,0,0.92,15,True,ESCALATE_HUMAN
CASE_00203,CUST_00203,Daniel Reynolds,50000,FAILED,TIMEOUT,1,0.42,45,False,ESCALATE_HUMAN
CASE_00204,CUST_00204,Rick Curry,100000,FAILED,NETWORK_ERROR,2,0.56,20,False,ESCALATE_HUMAN
CASE_00205,CUST_00205,Matthew Vargas,999,FAILED,CARD_DECLINED,1,0.54,5,False,SEND_PAYMENT_LINK
CASE_00206,CUST_00206,Allison Sherman,9999,FAILED,NETWORK_ERROR,3,0.53,0,False,STOP
CASE_00207,CUST_00207,Lisa Davenport,7999,ABANDONED,NONE,2,0.73,15,True,SEND_PAYMENT_LINK
CASE_00208,CUST_00208,Christopher Kelley,1499,ABANDONED,NONE,0,0.27,0,True,SEND_PAYMENT_LINK
CASE_00209,CUST_00209,Craig Jimenez,999,ABANDONED,NONE,0,0.8,15,True,SEND_PAYMENT_LINK
CASE_00210,CUST_00210,Toni Bell,1499,FAILED,CARD_DECLINED,2,0.74,20,False,SEND_PAYMENT_LINK
CASE_00211,CUST_00211,Amanda Sanchez,7999,ABANDONED,NONE,0,0.97,10,True,SEND_PAYMENT_LINK
CASE_00212,CUST_00212,Denise Baker,7999,FAILED,CARD_DECLINED,1,0.32,30,False,ESCALATE_HUMAN
CASE_00213,CUST_00213,James Rose,2499,FAILED,INSUFFICIENT_FUNDS,2,0.29,10,False,SEND_PAYMENT_LINK
CASE_00214,CUST_00214,Hannah Young,50000,FAILED,NETWORK_ERROR,0,0.69,10,False,RETRY_PAYMENT
CASE_00215,CUST_00215,Richard Thompson,4999,FAILED,INSUFFICIENT_FUNDS,2,0.2,0,False,SEND_PAYMENT_LINK
CASE_00216,CUST_00216,Kelsey Irwin,50000,ABANDONED,NONE,0,0.31,0,True,SEND_PAYMENT_LINK
CASE_00217,CUST_00217,Erica Brandt,999,FAILED,NETWORK_ERROR,3,0.56,0,False,STOP
CASE_00218,CUST_00218,Jennifer Phillips,7999,FAILED,INSUFFICIENT_FUNDS,0,0.91,0,False,SEND_PAYMENT_LINK
CASE_00219,CUST_00219,Brian Lee,1499,FAILED,TIMEOUT,2,0.55,20,False,RETRY_PAYMENT
CASE_00220,CUST_00220,Steven Lyons,15000,ABANDONED,NONE,2,0.37,45,True,ESCALATE_HUMAN
CASE_00221,CUST_00221,Janice Price,999,FAILED,NETWORK_ERROR,0,0.43,30,False,ESCALATE_HUMAN
CASE_00222,CUST_00222,Gregory Crawford,25000,FAILED,TIMEOUT,1,0.52,0,False,RETRY_PAYMENT
CASE_00223,CUST_00223,Michael Lewis,4999,FAILED,BANK_ERROR,2,0.43,0,False,SEND_PAYMENT_LINK
CASE_00224,CUST_00224,Ashley Carr,499,ABANDONED,NONE,3,0.34,20,True,STOP
CASE_00225,CUST_00225,Tami Pope,25000,FAILED,CARD_DECLINED,2,0.26,0,False,SEND_PAYMENT_LINK
CASE_00226,CUST_00226,Kim Peters,9999,FAILED,NETWORK_ERROR,0,0.89,20,False,RETRY_PAYMENT
CASE_00227,CUST_00227,Jeffery Stewart,50000,ABANDONED,NONE,3,0.43,20,True,STOP
CASE_00228,CUST_00228,Shannon Cole,499,FAILED,BANK_ERROR,3,0.87,15,False,STOP
